Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Allcargo Logistics,7.7,0.13%,7.9,"47,20,820","1,153.29",-192,32.3,38.34,7.39,-10.88%,-28.37%,-20.29%,-64.35%,0.39%,1.18,17.94%,-,5.06%,-,9.13,10.56,38.32,-,-
MSTC,397.75,1.61%,395.9,"1,87,285","2,800.16",12.7,6.52,582.45,382.25,-11.98%,-18.90%,-25.21%,53.57%,21.64%,3.31,10.36%,30.76%,66.07%,30.63,454.43,495.57,32.34,62.85%,70.00%
Jagran Prakashan,60.15,0.50%,60.36,"85,773","1,309.19",10.24,26.34,83.8,59.77,-4.72%,-15.47%,-15.35%,-15.46%,-0.17%,0.67,10.02%,10.19%,7.12%,8.28,65.05,69.94,29.22,50.00%,-
Accelya Solutions,"1,154.60",1.43%,"1,149.00","5,473","1,723.39",15.74,45.89,"1,527.00","1,130.00",-1.01%,-11.22%,-12.30%,-5.20%,29.69%,6.45,7.92%,46.93%,51.92%,78.22,"1,245.97","1,356.00",37.64,50.00%,-
Orkla,591.8,3.77%,575,"1,28,754","8,107.02",31.56,41.16,760,533.25,1.02%,-2.92%,-17.07%,-17.07%,-17.07%,2.98,7.69%,-,13.79%,-,573.86,-,52.02,-,75.00%
Castrol,173.22,-2.30%,178.01,"41,20,463","17,133.58",18.46,2.27,232.43,177.1,-7.52%,-6.84%,-21.01%,56.83%,42.98%,9.23,7.48%,40.73%,65.01%,8.95,186,198.75,25.64,67.54%,80.00%
PTC India,162.42,2.09%,164.8,"7,64,471","4,807.77",4.87,6.52,207,143.01,-3.50%,2.05%,0.30%,79.97%,95.80%,0.81,7.35%,8.63%,17.05%,17.36,166.71,170.76,44.7,50.00%,65.00%
Radiant Cash Management Services,35.17,2.69%,34.76,"1,07,684",375.29,10.97,32.3,73.8,33.95,-8.12%,-32.97%,-36.07%,-63.82%,-66.47%,1.4,7.28%,27.28%,23.96%,3.87,41.8,52.84,34.99,50.00%,-
Expleo Solutions,713.6,1.77%,707.1,"17,534","1,107.49",10.21,45.89,"1,370.90",685.1,-13.55%,-29.58%,-19.44%,-42.63%,35.20%,1.54,7.14%,14.80%,20.76%,60.67,835.08,"1,023.13",32.51,50.00%,-
Vedanta,653.3,1.17%,664,"79,73,886","2,55,465.65",12.2,-2.55,769.8,363,-4.10%,11.41%,38.34%,140.85%,191.98%,6.29,6.74%,17.92%,28.36%,13.95,687.46,534.57,37.82,75.86%,86.27%
VST Industries,216.99,2.44%,216.9,"2,13,297","3,685.82",15.73,14.99,334.65,210.97,-9.52%,-14.72%,-20.46%,-24.31%,-29.97%,2.84,6.44%,24.08%,27.46%,175.81,231.82,259.47,34.71,67.25%,70.00%
Alldigi Tech,738.4,2.21%,723,"3,717","1,125.20",15.18,45.89,"1,084.00",719,-10.55%,-10.13%,-24.21%,57.59%,115.87%,4.45,6.22%,26.07%,36.86%,43.71,819.79,889.74,35.45,50.00%,-
Aptech,77.8,4.01%,77.73,"1,93,267",451.49,16.22,26.68,182.3,74.4,-15.04%,-19.89%,-38.29%,-67.03%,-47.25%,1.82,6.03%,-,13.79%,-,84.71,113.55,33.96,-,-
DB Corp,201.01,0.43%,202.1,"1,39,911","3,582.85",11.09,26.34,291.85,194.7,-11.11%,-22.64%,-16.40%,101.82%,116.14%,1.55,5.98%,19.16%,20.64%,26.08,230.06,257.05,34.2,64.81%,-
Hindustan Zinc,498.8,2.29%,499,"47,26,618","2,10,758.91",17.46,-2.55,733,388.55,-15.58%,-18.20%,10.04%,55.75%,84.43%,15.04,5.95%,51.06%,62.89%,19.26,609.21,512.85,29.19,58.00%,82.72%
Quess Corp,176.06,3.64%,171.76,"1,36,033","2,626.86",40.71,21.82,708.85,167.88,-13.52%,-17.33%,-74.26%,5.98%,-45.09%,2.28,5.87%,-,5.74%,-,199.4,243.59,30.38,67.18%,70.00%
Coal India,444.55,-2.35%,463,"1,16,57,230","2,73,964.09",9.43,-2.55,476,356,4.35%,11.03%,9.50%,108.37%,228.69%,2.66,5.82%,44.71%,24.48%,59.34,434.53,399.43,55.65,76.00%,89.94%
MPS,"1,505.70",4.17%,"1,455.00","18,427","2,575.62",14.3,45.89,"3,079.00","1,336.10",-4.91%,-25.05%,-47.78%,34.96%,227.79%,5.05,5.73%,25.83%,37.62%,66.85,"1,644.96","2,130.25",39.99,50.00%,-
REC,320.3,1.22%,322.5,"56,71,938","84,342.16",4.83,34.77,450,310.55,-9.06%,-9.57%,-27.93%,172.83%,206.04%,1,5.69%,20.40%,9.48%,55.59,353.93,371.15,36.81,72.32%,86.03%
Gujarat Pipavav Port,148.83,3.30%,147.58,"6,73,999","7,195.04",14.38,32.3,200.09,127.74,-16.15%,-22.79%,4.92%,35.05%,46.49%,2.91,5.68%,14.78%,21.64%,8.51,169.31,166.73,30.73,68.08%,80.00%
GAIL,136.3,0.66%,139,"1,36,63,969","89,618.61",10.34,32.3,202.79,134.36,-18.45%,-20.77%,-24.81%,29.69%,52.12%,1.01,5.54%,12.83%,15.14%,17.17,160.34,174.49,27.23,76.00%,87.50%
Gulf Oil Lubricants,927.2,6.55%,885.8,"80,259","4,572.92",12.33,2.27,"1,331.90",865,-14.04%,-23.86%,-26.21%,128.32%,21.94%,2.6,5.51%,19.71%,32.30%,66.26,"1,074.02","1,180.45",21.11,50.00%,70.00%
Steel City Securities,76.32,2.76%,74.4,"3,583",115.3,8.1,31.31,116.9,73.8,-13.34%,-16.65%,-25.60%,25.63%,81.71%,0.84,5.39%,9.76%,17.86%,9.24,84.52,97.37,28.29,50.00%,-
Balmer Lawrie & Co,164.49,4.35%,159.98,"2,07,689","2,812.84",10.34,21.82,238.2,156.11,-9.45%,-10.14%,-12.91%,47.00%,21.80%,1.39,5.39%,6.24%,12.90%,15.68,173.81,196.99,31.59,66.65%,70.00%
